rw,num_jobs,cache_size,qd,metric,unit,value
randread,2,1536KB,12,iops,KIOPS,381.859997
randread,2,1536KB,14,iops,KIOPS,430.266398
randread,2,1536KB,16,iops,KIOPS,475.366033
randread,2,1536KB,18,iops,KIOPS,517.456909
randread,2,1536KB,20,iops,KIOPS,556.805122
randread,2,1536KB,22,iops,KIOPS,593.648697
randread,2,1536KB,24,iops,KIOPS,628.200920
randread,2,1536KB,26,iops,KIOPS,660.653251
randread,2,1536KB,28,iops,KIOPS,691.177847
randread,2,1536KB,30,iops,KIOPS,719.929785
randread,2,1536KB,32,iops,KIOPS,747.048990
randread,2,2048KB,1,iops,KIOPS,48.875440
randread,2,2048KB,2,iops,KIOPS,94.873377
randread,2,2048KB,4,iops,KIOPS,179.190649
randread,2,2048KB,6,iops,KIOPS,254.611363
randread,2,2048KB,8,iops,KIOPS,322.466241
randread,2,2048KB,10,iops,KIOPS,383.834405
randread,2,2048KB,12,iops,KIOPS,439.599903
randread,2,2048KB,14,iops,KIOPS,490.493715
randread,2,2048KB,16,iops,KIOPS,537.125390
randread,2,2048KB,18,iops,KIOPS,580.007177
randread,2,2048KB,20,iops,KIOPS,619.572636
randread,2,2048KB,22,iops,KIOPS,656.191149
randread,2,2048KB,24,iops,KIOPS,690.179339
randread,2,2048KB,26,iops,KIOPS,721.810145
randread,2,2048KB,28,iops,KIOPS,751.320086
randread,2,2048KB,30,iops,KIOPS,778.915129
randread,2,2048KB,32,iops,KIOPS,804.775457
randread,4,512KB,1,iops,KIOPS,55.355201
randread,4,512KB,2,iops,KIOPS,107.414211
randread,4,512KB,4,iops,KIOPS,202.726936
randread,4,512KB,6,iops,KIOPS,287.825674
randread,4,512KB,8,iops,KIOPS,364.227560
randread,4,512KB,10,iops,KIOPS,433.165511
randread,4,512KB,12,iops,KIOPS,495.651511
randread,4,512KB,14,iops,KIOPS,552.523785
randread,4,512KB,16,iops,KIOPS,604.482425
randread,4,512KB,18,iops,KIOPS,652.116627
randread,4,512KB,20,iops,KIOPS,695.925750
randread,4,512KB,22,iops,KIOPS,736.335765
randread,4,512KB,24,iops,KIOPS,773.712223
randread,4,512KB,26,iops,KIOPS,808.370579
randread,4,512KB,28,iops,KIOPS,840.584469
randread,4,512KB,30,iops,KIOPS,870.592402
randread,4,512KB,32,iops,KIOPS,898.603210
randread,4,1024KB,1,iops,KIOPS,64.462151
randread,4,1024KB,2,iops,KIOPS,124.742965
randread,4,1024KB,4,iops,KIOPS,234.166652
randread,4,1024KB,6,iops,KIOPS,330.722642
randread,4,1024KB,8,iops,KIOPS,416.383139
randread,4,1024KB,10,iops,KIOPS,492.751469
randread,4,1024KB,12,iops,KIOPS,561.143401
randread,4,1024KB,14,iops,KIOPS,622.647907
randread,4,1024KB,16,iops,KIOPS,678.173169
randread,4,1024KB,18,iops,KIOPS,728.481859
randread,4,1024KB,20,iops,KIOPS,774.218506
randread,4,1024KB,22,iops,KIOPS,815.930946
randread,4,1024KB,24,iops,KIOPS,854.087304
randread,4,1024KB,26,iops,KIOPS,889.089553
randread,4,1024KB,28,iops,KIOPS,921.284435
randread,4,1024KB,30,iops,KIOPS,950.972314
randread,4,1024KB,32,iops,KIOPS,978.414414
randread,4,1536KB,1,iops,KIOPS,76.944610
randread,4,1536KB,2,iops,KIOPS,147.822405
randread,4,1536KB,4,iops,KIOPS,273.748132
randread,4,1536KB,6,iops,KIOPS,381.859997
randread,4,1536KB,8,iops,KIOPS,475.366033
randread,4,1536KB,10,iops,KIOPS,556.805122
randread,4,1536KB,12,iops,KIOPS,628.200920
randread,4,1536KB,14,iops,KIOPS,691.177847
randread,4,1536KB,16,iops,KIOPS,747.048990
randread,4,1536KB,18,iops,KIOPS,796.883103
randread,4,1536KB,20,iops,KIOPS,841.555948
randread,4,1536KB,22,iops,KIOPS,881.789867
randread,4,1536KB,24,iops,KIOPS,918.184456
randread,4,1536KB,26,iops,KIOPS,951.240484
randread,4,1536KB,28,iops,KIOPS,981.378652
randread,4,1536KB,30,iops,KIOPS,1008.954399
randread,4,1536KB,32,iops,KIOPS,1034.269657
randread,4,2048KB,1,iops,KIOPS,94.873377
randread,4,2048KB,2,iops,KIOPS,179.190649
randread,4,2048KB,4,iops,KIOPS,322.466241
randread,4,2048KB,6,iops,KIOPS,439.599903
randread,4,2048KB,8,iops,KIOPS,537.125390
randread,4,2048KB,10,iops,KIOPS,619.572636
randread,4,2048KB,12,iops,KIOPS,690.179339
randread,4,2048KB,14,iops,KIOPS,751.320086
randread,4,2048KB,16,iops,KIOPS,804.775457
randread,4,2048KB,18,iops,KIOPS,851.906527
randread,4,2048KB,20,iops,KIOPS,893.771356
randread,4,2048KB,22,iops,KIOPS,931.204756
randread,4,2048KB,24,iops,KIOPS,964.874156
randread,4,2048KB,26,iops,KIOPS,995.319500
randread,4,2048KB,28,iops,KIOPS,1022.982273
randread,4,2048KB,30,iops,KIOPS,1048.226944
