rw,num_jobs,cache_size,qd,metric,unit,value
randread,2,1536KB,20,latency_avg,us,254.538168
randread,2,1536KB,22,latency_avg,us,278.280294
randread,2,1536KB,24,latency_avg,us,302.339544
randread,2,1536KB,26,latency_avg,us,326.640916
randread,2,1536KB,28,latency_avg,us,351.125006
randread,2,1536KB,30,latency_avg,us,375.745588
randread,2,1536KB,32,latency_avg,us,400.467221
randread,2,2048KB,1,latency_avg,us,68.924030
randread,2,2048KB,2,latency_avg,us,75.793549
randread,2,2048KB,4,latency_avg,us,90.753325
randread,2,2048KB,6,latency_avg,us,107.272783
randread,2,2048KB,8,latency_avg,us,125.234957
randread,2,2048KB,10,latency_avg,us,144.493081
randread,2,2048KB,12,latency_avg,us,164.883584
randread,2,2048KB,14,latency_avg,us,186.238470
randread,2,2048KB,16,latency_avg,us,208.395574
randread,2,2048KB,18,latency_avg,us,231.205931
randread,2,2048KB,20,latency_avg,us,254.538168
randread,2,2048KB,22,latency_avg,us,278.280294
randread,2,2048KB,24,latency_avg,us,302.339544
randread,2,2048KB,26,latency_avg,us,326.640916
randread,2,2048KB,28,latency_avg,us,351.125006
randread,2,2048KB,30,latency_avg,us,375.745588
randread,2,2048KB,32,latency_avg,us,400.467221
randread,4,512KB,1,latency_avg,us,101.612575
randread,4,512KB,2,latency_avg,us,111.740097
randread,4,512KB,4,latency_avg,us,133.794834
randread,4,512KB,6,latency_avg,us,158.148962
randread,4,512KB,8,latency_avg,us,184.630042
randread,4,512KB,10,latency_avg,us,213.021702
randread,4,512KB,12,latency_avg,us,243.082793
randread,4,512KB,14,latency_avg,us,274.565643
randread,4,512KB,16,latency_avg,us,307.231179
randread,4,512KB,18,latency_avg,us,340.859787
randread,4,512KB,20,latency_avg,us,375.257785
randread,4,512KB,22,latency_avg,us,410.260071
randread,4,512KB,24,latency_avg,us,445.729883
randread,4,512KB,26,latency_avg,us,481.556647
randread,4,512KB,28,latency_avg,us,517.652788
randread,4,512KB,30,latency_avg,us,553.950154
randread,4,512KB,32,latency_avg,us,590.396496
randread,4,1024KB,1,latency_avg,us,101.612575
randread,4,1024KB,2,latency_avg,us,111.740097
randread,4,1024KB,4,latency_avg,us,133.794834
randread,4,1024KB,6,latency_avg,us,158.148962
randread,4,1024KB,8,latency_avg,us,184.630042
randread,4,1024KB,10,latency_avg,us,213.021702
randread,4,1024KB,12,latency_avg,us,243.082793
randread,4,1024KB,14,latency_avg,us,274.565643
randread,4,1024KB,16,latency_avg,us,307.231179
randread,4,1024KB,18,latency_avg,us,340.859787
randread,4,1024KB,20,latency_avg,us,375.257785
randread,4,1024KB,22,latency_avg,us,410.260071
randread,4,1024KB,24,latency_avg,us,445.729883
randread,4,1024KB,26,latency_avg,us,481.556647
randread,4,1024KB,28,latency_avg,us,517.652788
randread,4,1024KB,30,latency_avg,us,553.950154
randread,4,1024KB,32,latency_avg,us,590.396496
randread,4,1536KB,1,latency_avg,us,101.612575
randread,4,1536KB,2,latency_avg,us,111.740097
randread,4,1536KB,4,latency_avg,us,133.794834
randread,4,1536KB,6,latency_avg,us,158.148962
randread,4,1536KB,8,latency_avg,us,184.630042
randread,4,1536KB,10,latency_avg,us,213.021702
randread,4,1536KB,12,latency_avg,us,243.082793
randread,4,1536KB,14,latency_avg,us,274.565643
randread,4,1536KB,16,latency_avg,us,307.231179
randread,4,1536KB,18,latency_avg,us,340.859787
randread,4,1536KB,20,latency_avg,us,375.257785
randread,4,1536KB,22,latency_avg,us,410.260071
randread,4,1536KB,24,latency_avg,us,445.729883
randread,4,1536KB,26,latency_avg,us,481.556647
randread,4,1536KB,28,latency_avg,us,517.652788
randread,4,1536KB,30,latency_avg,us,553.950154
randread,4,1536KB,32,latency_avg,us,590.396496
randread,4,2048KB,1,latency_avg,us,101.612575
randread,4,2048KB,2,latency_avg,us,111.740097
randread,4,2048KB,4,latency_avg,us,133.794834
randread,4,2048KB,6,latency_avg,us,158.148962
randread,4,2048KB,8,latency_avg,us,184.630042
randread,4,2048KB,10,latency_avg,us,213.021702
randread,4,2048KB,12,latency_avg,us,243.082793
randread,4,2048KB,14,latency_avg,us,274.565643
randread,4,2048KB,16,latency_avg,us,307.231179
randread,4,2048KB,18,latency_avg,us,340.859787
