component,median_us,share_pct,cum_share_pct
queue_wait,51.48,58.98258478460128,58.98258478460128
notify,33.18,38.01558203483043,96.9981668194317
complete,1.56,1.7873510540788267,98.78551787351053
copy,0.91,1.042621448212649,99.82813932172317
mcp_read,0.14,0.16040329972502293,99.98854262144819
parse,0.01,0.011457378551787351,99.99999999999997
