rw,num_jobs,cache_size,qd,metric,unit,value
randread,64,512KB,20,bandwidth,MiB/s,2111.000000
randread,64,512KB,24,bandwidth,MiB/s,2297.000000
randread,64,512KB,28,bandwidth,MiB/s,2422.000000
randread,64,512KB,32,bandwidth,MiB/s,2532.000000
randread,64,1024KB,1,bandwidth,MiB/s,601.000000
randread,64,1024KB,2,bandwidth,MiB/s,764.000000
randread,64,1024KB,4,bandwidth,MiB/s,896.000000
randread,64,1024KB,6,bandwidth,MiB/s,1024.000000
randread,64,1024KB,8,bandwidth,MiB/s,1210.000000
randread,64,1024KB,12,bandwidth,MiB/s,1624.000000
randread,64,1024KB,16,bandwidth,MiB/s,1953.000000
randread,64,1024KB,20,bandwidth,MiB/s,2188.000000
randread,64,1024KB,24,bandwidth,MiB/s,2321.000000
randread,64,1024KB,28,bandwidth,MiB/s,2469.000000
randread,64,1024KB,32,bandwidth,MiB/s,2592.000000
randread,64,1536KB,1,bandwidth,MiB/s,587.000000
randread,64,1536KB,2,bandwidth,MiB/s,766.000000
randread,64,1536KB,4,bandwidth,MiB/s,919.000000
randread,64,1536KB,6,bandwidth,MiB/s,1073.000000
randread,64,1536KB,8,bandwidth,MiB/s,1282.000000
randread,64,1536KB,12,bandwidth,MiB/s,1725.000000
randread,64,1536KB,16,bandwidth,MiB/s,1977.000000
randread,64,1536KB,20,bandwidth,MiB/s,2240.000000
randread,64,1536KB,24,bandwidth,MiB/s,2406.000000
randread,64,1536KB,28,bandwidth,MiB/s,2348.000000
randread,64,1536KB,32,bandwidth,MiB/s,2356.000000
randread,64,2048KB,1,bandwidth,MiB/s,685.000000
randread,64,2048KB,2,bandwidth,MiB/s,834.000000
randread,64,2048KB,4,bandwidth,MiB/s,962.000000
randread,64,2048KB,6,bandwidth,MiB/s,1138.000000
randread,64,2048KB,8,bandwidth,MiB/s,1300.000000
randread,64,2048KB,12,bandwidth,MiB/s,1774.000000
randread,64,2048KB,16,bandwidth,MiB/s,2226.000000
randread,64,2048KB,20,bandwidth,MiB/s,2440.000000
randread,64,2048KB,24,bandwidth,MiB/s,2557.000000
randread,64,2048KB,28,bandwidth,MiB/s,2609.000000
randread,64,2048KB,32,bandwidth,MiB/s,2941.000000
randwrite,1,512KB,1,bandwidth,MiB/s,6.986328
randwrite,1,512KB,2,bandwidth,MiB/s,13.400000
randwrite,1,512KB,4,bandwidth,MiB/s,29.800000
randwrite,1,512KB,8,bandwidth,MiB/s,61.400000
randwrite,1,512KB,16,bandwidth,MiB/s,116.000000
randwrite,1,512KB,24,bandwidth,MiB/s,163.000000
randwrite,1,512KB,40,bandwidth,MiB/s,239.000000
randwrite,1,512KB,56,bandwidth,MiB/s,298.000000
randwrite,1,512KB,72,bandwidth,MiB/s,306.000000
randwrite,1,512KB,88,bandwidth,MiB/s,267.000000
randwrite,1,512KB,96,bandwidth,MiB/s,257.000000
randwrite,1,512KB,112,bandwidth,MiB/s,229.000000
randwrite,1,512KB,128,bandwidth,MiB/s,229.000000
randwrite,1,1024KB,1,bandwidth,MiB/s,7.662109
randwrite,1,1024KB,2,bandwidth,MiB/s,15.900000
randwrite,1,1024KB,4,bandwidth,MiB/s,31.900000
randwrite,1,1024KB,8,bandwidth,MiB/s,62.200000
randwrite,1,1024KB,16,bandwidth,MiB/s,72.900000
randwrite,1,1024KB,24,bandwidth,MiB/s,173.000000
randwrite,1,1024KB,40,bandwidth,MiB/s,254.000000
randwrite,1,1024KB,56,bandwidth,MiB/s,317.000000
randwrite,1,1024KB,72,bandwidth,MiB/s,264.000000
randwrite,1,1024KB,88,bandwidth,MiB/s,206.000000
randwrite,1,1024KB,96,bandwidth,MiB/s,193.000000
randwrite,1,1024KB,112,bandwidth,MiB/s,160.000000
randwrite,1,1024KB,128,bandwidth,MiB/s,143.000000
randwrite,1,1536KB,1,bandwidth,MiB/s,8.237305
randwrite,1,1536KB,2,bandwidth,MiB/s,16.400000
randwrite,1,1536KB,4,bandwidth,MiB/s,32.600000
randwrite,1,1536KB,8,bandwidth,MiB/s,67.100000
randwrite,1,1536KB,16,bandwidth,MiB/s,127.000000
randwrite,1,1536KB,24,bandwidth,MiB/s,181.000000
randwrite,1,1536KB,40,bandwidth,MiB/s,267.000000
randwrite,1,1536KB,56,bandwidth,MiB/s,336.000000
randwrite,1,1536KB,72,bandwidth,MiB/s,197.000000
randwrite,1,1536KB,88,bandwidth,MiB/s,168.000000
randwrite,1,1536KB,96,bandwidth,MiB/s,134.000000
randwrite,1,1536KB,112,bandwidth,MiB/s,117.000000
randwrite,1,1536KB,128,bandwidth,MiB/s,97.600000
randwrite,1,2048KB,1,bandwidth,MiB/s,8.543945
randwrite,1,2048KB,2,bandwidth,MiB/s,16.900000
randwrite,1,2048KB,4,bandwidth,MiB/s,35.500000
randwrite,1,2048KB,8,bandwidth,MiB/s,70.700000
randwrite,1,2048KB,16,bandwidth,MiB/s,134.000000
randwrite,1,2048KB,24,bandwidth,MiB/s,192.000000
randwrite,1,2048KB,40,bandwidth,MiB/s,285.000000
randwrite,1,2048KB,56,bandwidth,MiB/s,354.000000
randwrite,1,2048KB,72,bandwidth,MiB/s,385.000000
randwrite,1,2048KB,88,bandwidth,MiB/s,379.000000
randwrite,1,2048KB,96,bandwidth,MiB/s,233.000000
randwrite,1,2048KB,112,bandwidth,MiB/s,291.000000
randwrite,1,2048KB,128,bandwidth,MiB/s,359.000000
randwrite,4,512KB,1,bandwidth,MiB/s,27.600000
randwrite,4,512KB,2,bandwidth,MiB/s,50.200000
randwrite,4,512KB,4,bandwidth,MiB/s,86.800000
randwrite,4,512KB,8,bandwidth,MiB/s,126.000000
randwrite,4,512KB,16,bandwidth,MiB/s,153.000000
randwrite,4,512KB,24,bandwidth,MiB/s,162.000000
randwrite,4,512KB,40,bandwidth,MiB/s,167.000000
randwrite,4,512KB,56,bandwidth,MiB/s,162.000000
randwrite,4,512KB,72,bandwidth,MiB/s,160.000000
randwrite,4,512KB,88,bandwidth,MiB/s,148.000000
randwrite,4,512KB,96,bandwidth,MiB/s,146.000000
randwrite,4,512KB,112,bandwidth,MiB/s,168.000000
randwrite,4,512KB,128,bandwidth,MiB/s,184.000000
randwrite,4,1024KB,1,bandwidth,MiB/s,25.900000
randwrite,4,1024KB,2,bandwidth,MiB/s,42.800000
randwrite,4,1024KB,4,bandwidth,MiB/s,63.100000
randwrite,4,1024KB,8,bandwidth,MiB/s,80.200000
randwrite,4,1024KB,16,bandwidth,MiB/s,85.400000
randwrite,4,1024KB,24,bandwidth,MiB/s,90.600000
randwrite,4,1024KB,40,bandwidth,MiB/s,109.000000
randwrite,4,1024KB,56,bandwidth,MiB/s,105.000000
randwrite,4,1024KB,72,bandwidth,MiB/s,96.200000
randwrite,4,1024KB,88,bandwidth,MiB/s,87.300000
randwrite,4,1024KB,96,bandwidth,MiB/s,78.900000
randwrite,4,1024KB,112,bandwidth,MiB/s,73.400000
randwrite,4,1024KB,128,bandwidth,MiB/s,66.800000
randwrite,4,1536KB,1,bandwidth,MiB/s,22.900000
randwrite,4,1536KB,2,bandwidth,MiB/s,35.400000
randwrite,4,1536KB,4,bandwidth,MiB/s,44.100000
randwrite,4,1536KB,8,bandwidth,MiB/s,49.600000
randwrite,4,1536KB,16,bandwidth,MiB/s,53.800000
randwrite,4,1536KB,24,bandwidth,MiB/s,55.300000
randwrite,4,1536KB,40,bandwidth,MiB/s,54.100000
randwrite,4,1536KB,56,bandwidth,MiB/s,50.700000
randwrite,4,1536KB,72,bandwidth,MiB/s,46.700000
randwrite,4,1536KB,88,bandwidth,MiB/s,56.100000
randwrite,4,1536KB,96,bandwidth,MiB/s,58.900000
randwrite,4,1536KB,112,bandwidth,MiB/s,56.100000
randwrite,4,1536KB,128,bandwidth,MiB/s,49.800000
randwrite,4,2048KB,1,bandwidth,MiB/s,33.400000
randwrite,4,2048KB,2,bandwidth,MiB/s,63.800000
randwrite,4,2048KB,4,bandwidth,MiB/s,121.000000
randwrite,4,2048KB,8,bandwidth,MiB/s,203.000000
randwrite,4,2048KB,16,bandwidth,MiB/s,296.000000
randwrite,4,2048KB,24,bandwidth,MiB/s,326.000000
randwrite,4,2048KB,40,bandwidth,MiB/s,340.000000
randwrite,4,2048KB,56,bandwidth,MiB/s,341.000000
randwrite,4,2048KB,72,bandwidth,MiB/s,334.000000
randwrite,4,2048KB,88,bandwidth,MiB/s,328.000000
randwrite,4,2048KB,96,bandwidth,MiB/s,317.000000
randwrite,4,2048KB,112,bandwidth,MiB/s,304.000000
randwrite,4,2048KB,128,bandwidth,MiB/s,297.000000
randwrite,8,512KB,1,bandwidth,MiB/s,38.300000
randwrite,8,512KB,2,bandwidth,MiB/s,55.800000
randwrite,8,512KB,4,bandwidth,MiB/s,69.000000
randwrite,8,512KB,8,bandwidth,MiB/s,80.300000
randwrite,8,512KB,16,bandwidth,MiB/s,85.000000
randwrite,8,512KB,24,bandwidth,MiB/s,99.700000
randwrite,8,512KB,40,bandwidth,MiB/s,132.000000
randwrite,8,512KB,56,bandwidth,MiB/s,130.000000
randwrite,8,512KB,72,bandwidth,MiB/s,125.000000
randwrite,8,512KB,88,bandwidth,MiB/s,120.000000
randwrite,8,512KB,96,bandwidth,MiB/s,113.000000
randwrite,8,512KB,112,bandwidth,MiB/s,109.000000
randwrite,8,512KB,128,bandwidth,MiB/s,103.000000
randwrite,8,1024KB,1,bandwidth,MiB/s,23.200000
randwrite,8,1024KB,2,bandwidth,MiB/s,27.900000
